geometry,name,lon,lat
POINT (100.4817309 13.7079018),Shell,100.4817309,13.7079018
POINT (100.4643497 13.6833098),บางจาก,100.4643497,13.6833098
POINT (100.6459737 13.70435),บางจาก,100.6459737,13.70435
POINT (100.6503941 13.716100099999997),7-Eleven,100.6503941,13.716100099999997
POINT (100.6755174 13.7764904),Caltex,100.6755174,13.7764904
POINT (100.4059177 13.660772099999999),PT,100.4059177,13.660772099999999
POINT (100.4068933 13.671494699999998),ป.ต.ท.,100.4068933,13.671494699999998
POINT (100.3746884 13.6402562),Caltex,100.3746884,13.6402562
POINT (100.5435624 13.8304772),Caltex,100.5435624,13.8304772
POINT (100.5325685268102 13.716271334471944),Shell,100.5325685268102,13.716271334471944
POINT (100.53478527870422 13.72353616765044),เชลล์,100.53478527870422,13.72353616765044
POINT (100.53602468877179 13.706605586120311),LPG,100.53602468877179,13.706605586120311
POINT (100.40806383959325 13.69596245972711),Caltex,100.40806383959325,13.69596245972711
POINT (100.43823134828503 13.681294869495407),ปั๊มน้ำมันเชลล์,100.43823134828503,13.681294869495407
POINT (100.41986685419693 13.712108585810455),ปั๊มน้ำมันคาลเท็กซ์,100.41986685419693,13.712108585810455
POINT (100.42022622045918 13.712103167244095),ปั๊มน้ำมันคิวเอท,100.42022622045918,13.712103167244095
POINT (100.5981529625714 13.735666872394091),บางจาก,100.5981529625714,13.735666872394091
POINT (100.40627277899227 13.664609345559896),ป.ต.ท.,100.40627277899227,13.664609345559896
POINT (100.42975739999392 13.712179049992768),ปั๊มน้ำมันเอสโซ่ สาขาเพชรเกษม 39,100.42975739999392,13.712179049992768
POINT (100.45423625311018 13.71907112261606),บางจาก,100.45423625311018,13.71907112261606
POINT (100.56237081513159 13.735928442470717),Shell,100.56237081513159,13.735928442470717
POINT (100.48944465134987 13.716920641820336),Shell,100.48944465134987,13.716920641820336
POINT (100.64976831915088 13.788141147867194),ปตท.,100.64976831915088,13.788141147867194
POINT (100.6497373311578 13.7999738620155),ปั๊มน้ำมันเชลล์ สาขานวมินทร์,100.6497373311578,13.7999738620155
POINT (100.79360591431288 13.74670788567812),P T T,100.79360591431288,13.74670788567812
POINT (100.79715607747416 13.75515174198393),P T T,100.79715607747416,13.75515174198393
POINT (100.80046275382973 13.759791817109432),Caltex,100.80046275382973,13.759791817109432
POINT (100.59565470000207 13.724970900010893),เชลล์,100.59565470000207,13.724970900010893
POINT (100.50003240042724 13.750020973451482),Shell,100.50003240042724,13.750020973451482
POINT (100.54103960452039 13.709261266963127),NGV & LPG,100.54103960452039,13.709261266963127
POINT (100.53150469369568 13.699796866782101),Susco,100.53150469369568,13.699796866782101
POINT (100.54185467479688 13.711001369958066),บางจาก,100.54185467479688,13.711001369958066
POINT (100.7630951499883 13.72211934993941),LPG Station,100.7630951499883,13.72211934993941
POINT (100.83457300003438 13.8008768000205),Caltex,100.83457300003438,13.8008768000205
POINT (100.86358807510017 13.906816991240277),P T,100.86358807510017,13.906816991240277
POINT (100.74782404869948 13.722200989596766),LPG Station,100.74782404869948,13.722200989596766
POINT (100.58445186626395 13.72417646716405),เชลล์,100.58445186626395,13.72417646716405
POINT (100.58433095000598 13.722746350031317),เอสโซ่,100.58433095000598,13.722746350031317
POINT (100.79467067108864 13.720698042130095),P T,100.79467067108864,13.720698042130095
POINT (100.81322993637627 13.713710067347034),Susco,100.81322993637627,13.713710067347034
POINT (100.56240190001036 13.74309330003018),Shell,100.56240190001036,13.74309330003018
POINT (100.84961829998987 13.698755950001303),P T,100.84961829998987,13.698755950001303
POINT (100.72537904799181 13.721715365599067),Esso,100.72537904799181,13.721715365599067
POINT (100.49769211702316 13.710847425791535),Shell,100.49769211702316,13.710847425791535
POINT (100.50109356676894 13.720417846783478),บางจาก,100.50109356676894,13.720417846783478
POINT (100.50066756853262 13.711554678756732),สยามแก๊ส,100.50066756853262,13.711554678756732
POINT (100.50725316452574 13.716192865240485),Shell,100.50725316452574,13.716192865240485
POINT (100.60768693640735 13.776725320730915),Shell Gas Station,100.60768693640735,13.776725320730915
POINT (100.60023885162569 13.763912166931199),สถานีบริการน้ำมันบางจาก,100.60023885162569,13.763912166931199
POINT (100.74588720096962 13.78345868481226),Shell,100.74588720096962,13.78345868481226
POINT (100.74593341970885 13.775377948132991),P T,100.74593341970885,13.775377948132991
POINT (100.74667520000177 13.765977150007265),J P & Sons LPG,100.74667520000177,13.765977150007265
POINT (100.74593814169715 13.762525408007747),P T,100.74593814169715,13.762525408007747
POINT (100.39661955000173 13.709531800002553),บางจาก,100.39661955000173,13.709531800002553
POINT (100.39329231596663 13.709102650977217),เชลล์,100.39329231596663,13.709102650977217
POINT (100.48169819999899 13.675682250003051),PTT,100.48169819999899,13.675682250003051
POINT (100.67200194999798 13.71901870002925),Shell,100.67200194999798,13.71901870002925
POINT (100.69166955000027 13.720542149966128),P T,100.69166955000027,13.720542149966128
POINT (100.55894221327605 13.841072369228488),เชลล์,100.55894221327605,13.841072369228488
POINT (100.56565701723244 13.844854691441846),Caltex,100.56565701723244,13.844854691441846
POINT (100.40753913160518 13.774010313953964),PTT,100.40753913160518,13.774010313953964
POINT (100.59130131511431 13.822422253391313),บางจาก,100.59130131511431,13.822422253391313
POINT (100.59182782969823 13.822506848006936),บางจาก,100.59182782969823,13.822506848006936
POINT (100.60317082540756 13.87110719113751),ปั้มเชลล์,100.60317082540756,13.87110719113751
POINT (100.60770987264391 13.692648219448616),บางจาก,100.60770987264391,13.692648219448616
POINT (100.6804122366331 13.914785007191059),PT,100.6804122366331,13.914785007191059
POINT (100.58928755001773 13.712460250072228),PTT,100.58928755001773,13.712460250072228
POINT (100.5144922642377 13.743171498783546),Bangchak,100.5144922642377,13.743171498783546
POINT (100.50096482715078 13.733092991235475),บริษัทธนดีชูโชค จำกัด,100.50096482715078,13.733092991235475
POINT (100.6429960046742 13.6576898658648),ป.ต.ท. สีแยกลาซาล,100.6429960046742,13.6576898658648
POINT (100.59598995000832 13.817221250040669),บางจาก,100.59598995000832,13.817221250040669
POINT (100.57012857229537 13.831071003577371),บางจาก,100.57012857229537,13.831071003577371
POINT (100.61795178835328 13.736956465365697),ปั๊มบางจาก,100.61795178835328,13.736956465365697
POINT (100.61838160107845 13.736982211682765),ปั๊มเชลล์,100.61838160107845,13.736982211682765
POINT (100.49789815001924 13.6463899500647),บางจาก,100.49789815001924,13.6463899500647
POINT (100.72041837249422 13.847465079286676),Esso,100.72041837249422,13.847465079286676
POINT (100.72074272642227 13.85079465569525),PTT,100.72074272642227,13.85079465569525
POINT (100.61332523998507 13.743034426226428),Shell Station,100.61332523998507,13.743034426226428
POINT (100.66846854333474 13.780686705698557),Shell,100.66846854333474,13.780686705698557
POINT (100.572903755322 13.849943109587073),PTT - สวัสดิการกรมวิชาการเกษตร,100.572903755322,13.849943109587073
POINT (100.65608322787328 13.747542704871902),Caltex,100.65608322787328,13.747542704871902
POINT (100.64503689723807 13.750177770242528),PTT,100.64503689723807,13.750177770242528
POINT (100.65617679999497 13.748253600000545),PTT,100.65617679999497,13.748253600000545
POINT (100.74701359428032 13.741348922735822),Shell,100.74701359428032,13.741348922735822
POINT (100.50040775781564 13.766235633625948),เวิลด์แก๊ส,100.50040775781564,13.766235633625948
POINT (100.67806983582555 13.787977136929145),PTT,100.67806983582555,13.787977136929145
POINT (100.6787336499884 13.787315950010706),ป.ต.ท.,100.6787336499884,13.787315950010706
POINT (100.7822467837409 13.751650632741109),PTT,100.7822467837409,13.751650632741109
POINT (100.66946000003817 13.780324550001426),Esso,100.66946000003817,13.780324550001426
POINT (100.58840971914353 13.738099397598976),บางจาก,100.58840971914353,13.738099397598976
POINT (100.48793044953194 13.771645603107517),ปตท,100.48793044953194,13.771645603107517
POINT (100.61120495000856 13.866706250007145),PTT NGV Station,100.61120495000856,13.866706250007145
POINT (100.61948146289376 13.862262194993423),Best LPG,100.61948146289376,13.862262194993423
POINT (100.65053965367424 13.845422068002284),บางจาก,100.65053965367424,13.845422068002284
POINT (100.64719098904571 13.846429756926742),Caltex,100.64719098904571,13.846429756926742
POINT (100.67006334298753 13.831841707223333),Esso,100.67006334298753,13.831841707223333
POINT (100.66553356434788 13.836228747473399),Susco,100.66553356434788,13.836228747473399
POINT (100.69202331697586 13.787596109059722),P T,100.69202331697586,13.787596109059722
POINT (100.71777715004197 13.80117339997629),Shell,100.71777715004197,13.80117339997629
POINT (100.74592739527343 13.78699444028282),Caltex,100.74592739527343,13.78699444028282
POINT (100.7466971998859 13.785797743500117),P T T,100.7466971998859,13.785797743500117
POINT (100.74707410002826 13.7444628501512),P T T NGV station,100.74707410002826,13.7444628501512
POINT (100.74590275000651 13.7695459500295),Esso,100.74590275000651,13.7695459500295
POINT (100.77910869997423 13.752834849973219),Shell,100.77910869997423,13.752834849973219
POINT (100.74685145001041 13.753530750053137),Fuel Station,100.74685145001041,13.753530750053137
POINT (100.75046582838627 13.755165165444435),Shell,100.75046582838627,13.755165165444435
POINT (100.7460541500108 13.749196050061755),P T T,100.7460541500108,13.749196050061755
