LOCATION CODE,ROAD NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET
11091,ทางพิเศษเฉลิมมหานคร,13.67161,100.50759,11088.0,11092.0
11092,ทางพิเศษเฉลิมมหานคร,13.68602,100.51984,11091.0,11094.0
11094,ทางพิเศษเฉลิมมหานคร,13.69199,100.52454,11092.0,46125.0
46125,ทางพิเศษเฉลิมมหานคร,13.69378,100.52771,11094.0,11096.0
11096,ทางพิเศษเฉลิมมหานคร,13.69434,100.52915,46125.0,11099.0
11099,ทางพิเศษเฉลิมมหานคร,13.69752,100.5378,11096.0,11100.0
11100,ทางพิเศษเฉลิมมหานคร,13.70089,100.54137,11099.0,11103.0
11103,ทางพิเศษเฉลิมมหานคร,13.70925,100.54926,11100.0,11126.0
11126,ทางพิเศษเฉลิมมหานคร,13.71492,100.55496,11103.0,
45939,ทางพิเศษเฉลิมมหานคร,13.71201,100.56511,,46095.0
46095,ทางพิเศษเฉลิมมหานคร,13.71253,100.56813,45939.0,
11064,ทางพิเศษเฉลิมมหานคร,13.71132,100.56308,,20029.0
20029,ทางพิเศษเฉลิมมหานคร,13.7125,100.56162,11064.0,
11101,ทางพิเศษเฉลิมมหานคร,13.70785,100.54496,,20043.0
20043,ทางพิเศษเฉลิมมหานคร,13.70925,100.54926,11101.0,
11097,ทางพิเศษเฉลิมมหานคร,13.697,100.53507,,20041.0
20041,ทางพิเศษเฉลิมมหานคร,13.69752,100.5378,11097.0,
11089,ทางพิเศษเฉลิมมหานคร,13.67223,100.50667,,20039.0
20039,ทางพิเศษเฉลิมมหานคร,13.67161,100.50759,11089.0,
45948,ทางพิเศษเฉลิมมหานคร,13.70255,100.59257,,46099.0
46099,ทางพิเศษเฉลิมมหานคร,13.69919,100.59206,45948.0,
45941,ทางพิเศษเฉลิมมหานคร,13.70969,100.58081,,46096.0
46096,ทางพิเศษเฉลิมมหานคร,13.70988,100.57977,45941.0,
45945,ทางพิเศษเฉลิมมหานคร,13.7047,100.58953,,46098.0
46098,ทางพิเศษเฉลิมมหานคร,13.70344,100.59042,45945.0,
11121,ทางพิเศษเฉลิมมหานคร,13.70344,100.59042,,20052.0
20052,ทางพิเศษเฉลิมมหานคร,13.70368,100.59278,11121.0,
11045,ทางพิเศษเฉลิมมหานคร,13.6726,100.60889,,20020.0
20020,ทางพิเศษเฉลิมมหานคร,13.67361,100.60591,11045.0,
11047,ทางพิเศษเฉลิมมหานคร,13.67361,100.60591,,20022.0
20022,ทางพิเศษเฉลิมมหานคร,13.67576,100.60444,11047.0,
11046,ทางพิเศษเฉลิมมหานคร,13.67185,100.60612,,20021.0
20021,ทางพิเศษเฉลิมมหานคร,13.67361,100.60591,11046.0,
11048,ทางพิเศษเฉลิมมหานคร,13.6742,100.60318,,20023.0
20023,ทางพิเศษเฉลิมมหานคร,13.67576,100.60444,11048.0,
45935,ทางพิเศษเฉลิมมหานคร,13.7158,100.55817,,45937.0
45937,ทางพิเศษเฉลิมมหานคร,13.71303,100.56179,45935.0,45940.0
45940,ทางพิเศษเฉลิมมหานคร,13.71253,100.56813,45937.0,45943.0
45943,ทางพิเศษเฉลิมมหานคร,13.71257,100.57698,45940.0,45944.0
45944,ทางพิเศษเฉลิมมหานคร,13.70912,100.58456,45943.0,45946.0
45946,ทางพิเศษเฉลิมมหานคร,13.7047,100.58953,45944.0,45947.0
45947,ทางพิเศษเฉลิมมหานคร,13.70336,100.59014,45946.0,45949.0
45949,ทางพิเศษเฉลิมมหานคร,13.69919,100.59206,45947.0,11122.0
11122,ทางพิเศษเฉลิมมหานคร,13.69683,100.59431,45949.0,45951.0
45951,ทางพิเศษเฉลิมมหานคร,13.69542,100.59628,11122.0,45952.0
45952,ทางพิเศษเฉลิมมหานคร,13.68554,100.60282,45951.0,11127.0
11127,ทางพิเศษเฉลิมมหานคร,13.67581,100.60497,45952.0,
11068,ทางพิเศษเฉลิมมหานคร,13.7145,100.55537,,11070.0
11070,ทางพิเศษเฉลิมมหานคร,13.7085,100.54976,11068.0,11071.0
11071,ทางพิเศษเฉลิมมหานคร,13.70031,100.54185,11070.0,11073.0
11073,ทางพิเศษเฉลิมมหานคร,13.69804,100.54028,11071.0,11074.0
11074,ทางพิเศษเฉลิมมหานคร,13.6937,100.5305,11073.0,11077.0
11077,ทางพิเศษเฉลิมมหานคร,13.6923,100.52679,11074.0,11078.0
11078,ทางพิเศษเฉลิมมหานคร,13.69046,100.52461,11077.0,11079.0
11079,ทางพิเศษเฉลิมมหานคร,13.68555,100.52076,11078.0,11081.0
11081,ทางพิเศษเฉลิมมหานคร,13.67533,100.51278,11079.0,11082.0
11082,ทางพิเศษเฉลิมมหานคร,13.67081,100.49443,11081.0,11125.0
11125,ทางพิเศษเฉลิมมหานคร,13.6782,100.47744,11082.0,
45915,ทางพิเศษเฉลิมมหานคร,13.76862,100.55079,,45916.0
45916,ทางพิเศษเฉลิมมหานคร,13.76553,100.54922,45915.0,45917.0
45917,ทางพิเศษเฉลิมมหานคร,13.76163,100.5471,45916.0,11120.0
11120,ทางพิเศษเฉลิมมหานคร,13.75539,100.54573,45917.0,45919.0
45919,ทางพิเศษเฉลิมมหานคร,13.7515,100.54932,11120.0,45918.0
45918,ทางพิเศษเฉลิมมหานคร,13.74696,100.55039,45919.0,45923.0
45923,ทางพิเศษเฉลิมมหานคร,13.7452,100.55062,45918.0,45924.0
45924,ทางพิเศษเฉลิมมหานคร,13.73699,100.55144,45923.0,45926.0
45926,ทางพิเศษเฉลิมมหานคร,13.73314,100.55182,45924.0,45927.0
45927,ทางพิเศษเฉลิมมหานคร,13.72832,100.55237,45926.0,45929.0
45929,ทางพิเศษเฉลิมมหานคร,13.72641,100.55258,45927.0,45930.0
45930,ทางพิเศษเฉลิมมหานคร,13.72226,100.55293,45929.0,45931.0
45931,ทางพิเศษเฉลิมมหานคร,13.7176,100.55523,45930.0,11123.0
11123,ทางพิเศษเฉลิมมหานคร,13.7158,100.55817,45931.0,
11059,ทางพิเศษเฉลิมมหานคร,13.70988,100.57977,,20026.0
20026,ทางพิเศษเฉลิมมหานคร,13.71202,100.57665,11059.0,
11085,ทางพิเศษเฉลิมมหานคร,13.68184,100.47415,,20037.0
20037,ทางพิเศษเฉลิมมหานคร,13.67831,100.47827,11085.0,
11086,ทางพิเศษเฉลิมมหานคร,13.68213,100.47932,,20038.0
20038,ทางพิเศษเฉลิมมหานคร,13.67831,100.47827,11086.0,
45921,ทางพิเศษเฉลิมมหานคร,13.74854,100.55048,,46086.0
46086,ทางพิเศษเฉลิมมหานคร,13.74696,100.55039,45921.0,
11042,ทางพิเศษเฉลิมมหานคร,13.71113,100.56356,,46102.0
46102,ทางพิเศษเฉลิมมหานคร,13.71132,100.56308,11042.0,
45938,ทางพิเศษเฉลิมมหานคร,13.71217,100.5642,,46094.0
46094,ทางพิเศษเฉลิมมหานคร,13.71201,100.56511,45938.0,
11112,ทางพิเศษเฉลิมมหานคร,13.72441,100.5517,,20049.0
20049,ทางพิเศษเฉลิมมหานคร,13.7261,100.55215,11112.0,
11102,ทางพิเศษเฉลิมมหานคร,13.70804,100.54325,,20044.0
20044,ทางพิเศษเฉลิมมหานคร,13.70785,100.54496,11102.0,
11098,ทางพิเศษเฉลิมมหานคร,13.69641,100.53329,,20042.0
20042,ทางพิเศษเฉลิมมหานคร,13.697,100.53507,11098.0,
11117,ทางพิเศษเฉลิมมหานคร,13.7437,100.54966,,20051.0
20051,ทางพิเศษเฉลิมมหานคร,13.74533,100.55012,11117.0,
11052,ทางพิเศษเฉลิมมหานคร,13.69119,100.59673,,20025.0
20025,ทางพิเศษเฉลิมมหานคร,13.69541,100.5953,11052.0,
11090,ทางพิเศษเฉลิมมหานคร,13.67285,100.50712,,20040.0
20040,ทางพิเศษเฉลิมมหานคร,13.67223,100.50667,11090.0,
11076,ทางพิเศษเฉลิมมหานคร,13.69398,100.53169,,20033.0
20033,ทางพิเศษเฉลิมมหานคร,13.6923,100.52679,11076.0,
11083,ทางพิเศษเฉลิมมหานคร,13.6782,100.47744,,20035.0
20035,ทางพิเศษเฉลิมมหานคร,13.68247,100.47927,11083.0,
11084,ทางพิเศษเฉลิมมหานคร,13.6782,100.47744,,20036.0
20036,ทางพิเศษเฉลิมมหานคร,13.6809,100.47365,11084.0,
45942,ทางพิเศษเฉลิมมหานคร,13.71257,100.57698,,46097.0
46097,ทางพิเศษเฉลิมมหานคร,13.71086,100.58172,45942.0,
46054,ทางพิเศษเฉลิมมหานคร,13.68233,100.6031,,20304.0
