,CC,CID,VERSION NR,TABLE,LOCATION CODE,(SUB)TYPE,ROAD NUMBER,ROAD NAME,JUNCTION NUMBER,FIRST NAME,SECOND NAME,AREA REFERENCE,LINEAR REFERENCE,NEGATIVE OFFSET,POSITIVE OFFSET,INTERSECTION REFS,LATITUDE,LONGITUDE,URBAN,INTERRUPT,ISOLATED,IN+,OUT+,IN-,OUT-,PRESENT+,PRESENT-,geometry
449,2,227,3.2,19,25512,P1.14,,Arun Ammarin Road,,Rama 8 Bridge (Thonburi),,10.0,536.0,25511.0,25513.0,,13.77251,100.49184,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49184 13.77251)
450,2,227,3.2,19,25513,P3.2,,Arun Ammarin Road,,Rama 8 Bridge,,10.0,536.0,25512.0,25518.0,,13.76928,100.49662,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49662 13.76928)
451,2,227,3.2,19,25518,P1.11,,Arun Ammarin Road,,Bang Khun Phrom Intersection-536,,10.0,536.0,25513.0,,,13.76692,100.5011,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5011 13.76692)
453,2,227,3.2,19,39000,P1.11,,Aumnuai Songkhram Rd.,,Bang Krabue Intersection-563,,10.0,563.0,,39001.0,,13.78939,100.51465,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51465 13.78939)
454,2,227,3.2,19,39001,P1.12,,Aumnuai Songkhram Rd.,,Amnuai Songkhram-ruam Chit Junction-563,,10.0,563.0,39000.0,39002.0,,13.78759,100.51758,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51758 13.78759)
455,2,227,3.2,19,39002,P1.12,,Aumnuai Songkhram Rd.,,Amnuai Songkhram Junction-563,,10.0,563.0,39001.0,39005.0,,13.78598,100.52016,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52016 13.78598)
456,2,227,3.2,19,39005,P1.11,,Aumnuai Songkhram Rd.,,Keschakomola Intersection-563,,10.0,563.0,39002.0,,,13.78333,100.52441,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52441 13.78333)
458,2,227,3.2,19,16000,P1.11,,Bamrung Mueang Road,,Sao Chingcha 2 Intersection,,10.0,516.0,,16001.0,,13.7519,100.50202,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50202 13.7519)
459,2,227,3.2,19,16001,P1.11,,Bamrung Mueang Road,,Samranrat Intersection-516,,10.0,516.0,16000.0,16002.0,,13.75212,100.50451,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50451 13.75212)
460,2,227,3.2,19,16002,P1.11,,Bamrung Mueang Road,,Men Pun Intersection,,10.0,516.0,16001.0,16003.0,,13.75214,100.50546,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50546 13.75214)
461,2,227,3.2,19,16003,P1.11,,Bamrung Mueang Road,,Mane Si Intersection-516,,10.0,516.0,16002.0,16004.0,,13.75187,100.5087,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5087 13.75187)
462,2,227,3.2,19,16004,P1.12,,Bamrung Mueang Road,,Yukhon 2 Junction-516,,10.0,516.0,16003.0,16005.0,,13.75072,100.51203,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51203 13.75072)
463,2,227,3.2,19,16005,P1.11,,Bamrung Mueang Road,,Anamai Intersection,,10.0,516.0,16004.0,16006.0,,13.74985,100.5145,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5145 13.74985)
464,2,227,3.2,19,16006,P1.11,,Bamrung Mueang Road,,Kasat Suk Intersection-516,,10.0,516.0,16005.0,16017.0,,13.74909,100.51674,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51674 13.74909)
465,2,227,3.2,19,16017,P1.12,,Bamrung Mueang Road,,Soi Wat Borom Niwat,,10.0,516.0,16006.0,16018.0,,13.74835,100.51897,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51897 13.74835)
466,2,227,3.2,19,16018,P1.11,,Bamrung Mueang Road,,Phong Phraram Intersection-516,,10.0,516.0,16017.0,,,13.74799,100.52078,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52078 13.74799)
468,2,227,3.2,19,46273,P1.11,,Bang Khae 7,,Hattrick Football Field,,10.0,2410.0,,46274.0,,13.69421,100.42907,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.42907 13.69421)
469,2,227,3.2,19,46274,P1.11,,Bang Khae 7,,Kallapaphruek Road,,10.0,2410.0,46273.0,,,13.69142,100.43403,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.43403 13.69142)
471,2,227,3.2,19,46275,P1.11,,Bang Khae 7,,Bang Khae Road,,10.0,2411.0,,46276.0,,13.69502,100.42203,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.42203 13.69502)
