LOCATION CODE,ROAD NAME,FIRST NAME,SECOND NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET,geometry,dist_to_osm_m,positive_ok,negative_ok
29506,Sathu Pradit Road,Narathiwatratchanakarin Soi 24 - 544,,13.69856,100.53156,29505,29507,POINT (100.53156 13.69856),0.11532445326970141,True,True
29507,Sathu Pradit Road,Sathu Pradit 12,,13.70254,100.53001,29506,29508,POINT (100.53001 13.70254),1.0573485798909905,True,True
29508,Sathu Pradit Road,Sathu-chan Junction-544,,13.7059,100.52865,29507,,POINT (100.52865 13.7059),0.5572131501423302,False,True
39514,Sawankhalok Rd.,Lan Luang Intersection-564,,13.75644,100.50966,,39513,POINT (100.50966 13.75644),0.16462094921467102,True,False
39513,Sawankhalok Rd.,Kasikornbank - 564,,13.75652,100.51221,39514,39515,POINT (100.51221 13.75652),2.8317170036308186,True,True
39515,Sawankhalok Rd.,Saphan Khao Intersection-564,,13.7566,100.51606,39513,39512,POINT (100.51606 13.7566),0.014041373970274532,True,True
39512,Sawankhalok Rd.,Soi Luklung 11,,13.75686,100.51816,39515,39501,POINT (100.51816 13.75686),4.877406205181662,True,True
39501,Sawankhalok Rd.,Yommarat Intersection-564,,13.75727,100.52053,39512,39502,POINT (100.52053 13.75727),2.040187214874085,True,True
39502,Sawankhalok Rd.,Saowani Intersection-564,,13.76299,100.52296,39501,39503,POINT (100.52296 13.76299),3.5940243037593005,True,True
39503,Sawankhalok Rd.,U-phai Intersection-564,,13.77043,100.52595,39502,39504,POINT (100.52595 13.77043),1.8098009897608094,True,True
39504,Sawankhalok Rd.,Sawankhalok Junction-564,,13.77362,100.52723,39503,39516,POINT (100.52723 13.77362),1.6464506147650528,True,True
39516,Sawankhalok Rd.,Samsen Intersection-564,,13.77618,100.52839,39504,,POINT (100.52839 13.77618),1.9517225406420224,False,True
43026,Serithai Road,Nida Intersection-670,,13.77266,100.65447,,43022,POINT (100.65447 13.77266),6.035766783593501,True,False
