LOCATION CODE,LATITUDE,LONGITUDE,u,v,key,osmid,distance_meters
45939,13.71201,100.56511,2210489936,2210489939,0,211040211,48.65603627276205
46095,13.71253,100.56813,2210489954,8323787400,0,211040190,33.778128856565104
11064,13.71132,100.56308,2210489927,8629532029,0,947575047,6.98380217566751
20029,13.7125,100.56162,61892894,2210489986,0,1009341628,3.0050653080849314
20043,13.70925,100.54926,1692045547,1692045508,0,156966555,31.836728648089323
11097,13.697,100.53507,11092269743,330928497,0,753173499,80.6866755306527
20041,13.69752,100.5378,11092269739,11092269740,0,753173499,27.47650121801991
11089,13.67223,100.50667,12430663667,12430663670,0,1343463553,7.322994429724879
20039,13.67161,100.50759,12430663694,12430663698,0,1350022608,23.723896063761327
45948,13.70255,100.59257,85774952,313134673,0,28504422,5.449913543649125
46099,13.69919,100.59206,2210489836,85774963,0,28506598,17.12160819927415
45941,13.70969,100.58081,571115041,8296101680,0,722562845,67.65324689341321
45941,13.70969,100.58081,8296101680,571115041,0,722562845,67.65324689341321
46096,13.70988,100.57977,8296101681,2210489904,0,1198576174,90.54584741221404
45945,13.7047,100.58953,10106888517,85753866,0,1189079713,26.003617887594164
46098,13.70344,100.59042,10159685736,4007442822,0,150557359,21.170346142650764
11121,13.70344,100.59042,10159685736,4007442822,0,150557359,21.170346142650764
20052,13.70368,100.59278,7975167962,10159685737,0,210884354,11.580389712765527
11045,13.6726,100.60889,61708653,1283908239,0,183769812,1.9166034905062077
20020,13.67361,100.60591,12042043003,12042042997,0,150571885,2.984278209558165
11047,13.67361,100.60591,12042043003,12042042997,0,150571885,2.984278209558165
20022,13.67576,100.60444,1287529859,1287529714,0,1185907128,3.6296686267889045
